a: ä°
broadsword: bró°dsórd
broadtail: bro°dtäl
Broadway: bró°dwä
Brobdingnag: bro°bdińnag
Brobdingnagian: bróbdigna°gë'n
Brobdingnagians: bróbdigna°gë'nz
Broca: brö°k'
brocade: brökä°d
brocades: brökä°dz
brocatel: brok'te°l
broccoli: bro°k'lë
broch: bro°k
broche: bröśä°
brochette: bröśe°t
brochure: bröśú°r
brochures: bröśú°rz
Brock: bro°k
brockage: bro°kij
Brocken: bro°k'n
brocket: bro°kit
brogan: brö°g'n
brogh: bro°k
Broglie: broglë°
brogue: brö°g
broider: broi°d'r
broidery: broi°d'rë
broil: broi°l
broiled: broi°ld
broiler: broi°l'r
broilers: broi°l'rz
broiling: broi°liń
brokage: brö°kij
Brokaw: brö°kó
broke: brö°k
broken: brö°k'n
brokenhearted: brök'nhá°rt'd
brokenly: brö°k'nlë
broker: brö°k'r
brokerage: brö°k'rij
brokerages: brö°k'rijiz
brokered: brö°k'rd
brokering: brö°k'riń
brokers: brö°k'rz
broking: brö°kiń
brolly: bro°lë
bromal: brö°mal
bromate: brö°mät
Bromberg: bro°mbérg
brome: brö°m
bromelia: brömë°lë'
bromeliaceous: brömëlëä°ś's
bromeosin: brömë°'sin
bromhidrosis: brömidrö°sis
bromic: brö°mik
bromide: brö°mïd
bromides: brö°mïdz
bromidic: brömi°dik
bromidrosis: brömidrö°sis
brominate: brö°m'nät
bromine: brö°mën
brominism: brö°m'niz'm
bromise:> bromize
bromism: brö°miz'm
bromize: brö°mïz
Bromley: bro°mlë
brommer: bro°m'r
bromoform: brö°m'fórm
bronc: bro°ńk
bronchi: bro°ńkë
bronchia: bro°ńkë'
bronchial: bro°nćë'l
bronchially: bro°ńkë'lë
bronchiectasis: brońkëe°kt'sis
bronchiolar: brońkëö°l'r
bronchiole: bro°ńkëöl
bronchitic: brońki°tik
bronchitis: brońkï°tis
bronchopneumonia: brońkönümö°ny'
bronchoscope: bro°nk'skö°p
bronchoscopist: brońko°sk'pist
bronchoscopy: brońko°sk'pë
bronchospasm: bro°ńk'spaz'm
bronchus: bro°ńk's
bronco: bro°ńkö
broncobuster: bro°ńköbust'r
broncos: bro°ńköz
Bronson: bro°ns'n
Bronte: bro°ntë
brontosaur: bro°nt'sor
Brontosaurus: bront'sá°r's
Bronx: bro°ńks
bronze: bro°nz
bronzed: bro°nzd
bronzen: bro°nz'n
bronzes: bro°nz'z
bronzite: bro°nzït
broo: brü°
brooch: brö°ć
brood: brü°d
brooded: brü°did
brooder: brü°d'r
brooding: brü°diń
broodmare: brü°dmär
broody: brü°dë
brook: brú°k
Brooke: brú°k
brookie: brú°kë
brooking: brú°kiń
brookite: brú°kït
brooklet: brú°klit
brooklime: brú°klïm
Brooklyn: brú°klin
Brooklynese: brú°kl'nëz
Brooklynite: brú°kl'nït
brooks: brú°ks
brookweed: brú°kwëd
broom: brü°m
broomcorn: brü°mkórn
broomrape: brü°mräp
brooms: brü°mz
broomstick: brü°mstik
broomsticks: brü°mstiks
brose: brö°z
broth: bró°þ
brothel: bro°þ'l
brothels: bro°þ'lz
brother: bru°ð'r
brotherhood: bru°ð'rhúd
brotherly: bru°ð'rlë
brothers: bru°ð'rz
broths: bró°þs
brough: braú°
brougham: brü°g'm
brought: bró°t
brouhaha: brühá°há
brow: braú°
browbeat: braú°bët
browed: braú°d
Brown: braú°n
Browne: braú°n
browned: braú°nd
browner: braú°n'r
brownest: braú°nist
brownfield: braú°nfëld
brownfields: braú°nfëldz
brownie: braú°në
brownies: braú°nëz
browning: braú°niń
brownish: braú°niś
brownout: braú°naút
brownouts: braú°naúts
browns: braú°nz
brownstone: braú°nstön
Brownsville: braú°nzvil
brows: braú°z
browse: braú°z
browsed: braú°zd
browser: braú°z'r
browsers: braú°z'rz
browsing: braú°ziń
Broz: bro°z
Brubeck: brü°bek
Bruce: brü°s
brucella: brüse°l'
brucellosis: brüs'lö°sis
Bruch: bru°ć
brucine: brü°sën
brucite: brü°sït
Bruckner: bru°kn'r
Bruges: brü°jiz
brugh: bru°
bruin: brü°in
bruins: brü°inz
bruise: brü°z
bruised: brü°zd
bruiser: brü°z'r
bruises: brü°z'z
bruising: brü°ziń
bruit: brü°t
Brule: brü°l
brulyie: brú°lë
brulzie: brú°lë
Brumaire: brëme°r
brumal: brü°m'l
brumby: bru°mbë
brume: brü°m
brummagem: bru°m'j'm
Brummel: bru°m'l
Brummell: bru°m'l
brumous: brü°m's
brunch: bru°nć
brunches: bru°nćiz
Brundisium: br'ndi°zë'm
Brunei: brünï°
Brunel: brüne°l
Brunelleschi: brün'le°skë
brunet: brüne°t
brunette: brüne°t
brunettes: brüne°ts
Brunhild: brú°nhilt
Brunhilde: brúnhi°ld'
Bruno: brü°nö
Brunswick: bru°nzwik
brunt: bru°nt
Brusa: brü°sá
brush: bru°ś
brushed: bru°śt
brushes: bru°śiz
brushfire: bru°śfïr
brushfires: bru°śfïrz
brushing: bru°śiń
brushless: bru°śles
brushup: bru°śup
brushwood: bru°śwúd
brushwork: bru°śwérk
brushy: bru°śë
brusque: bru°sk
brusquely: bru°sklë
brusqueness: br'skne°s
brusquerie: bru°sk'rë
Brussels: bru°s'lz
brust: bru°st
Brut: brü°t
brutal: brü°t'l
brutalisation:> brutalization
brutalise:> brutalize
brutalised:> brutalized
brutalises:> brutalizes
brutalising:> brutalizing
brutalism: brü°t'liz'm
brutalities: brüta°l'tëz
brutality: brüta°litë
brutalization: brü°t'l'zäś'n
brutalize: brü°t'lïz
brutalized: brü°t'lïzd
brutalizes: brü°t'lïziz
brutalizing: brü°t'lïziń
brutally: brü°t'lë
brute: brü°t
brutely: brü°tlë
brutify: brü°t'fï
bruting: brü°tiń
brutish: brü°tiś
brutishly: brü°tiślë
brutishness: brü°tiśnes
Brutus: brü°t's
Bruxelles: br'kse°l's
bruxism: bru°ksiz'm
Bryan: brï°'n
Bryansk: brëá°nsk
Bryant: brï°'nt
Bryce: brï°s
Brynhild: bri°nhild
bryological: brï'lo°jik'l
bryology: brïá°l'jë
Bryon: brï°'n
bryony: brï°'në
bryophyte: brï°'fït
bryophytic: brï'fi°tik
bryozoan: brï'zö°'n
Brython: bri°þ'n
Brythonic: briþá°nik
Brzezinski: brizi°nskë
Bt: bë°të°
bub: bu°b
bubal: byü°b'l
bubaline: byü°b'lïn
bubalis: byü°b'lis
bubba: bu°b'
bubble: bu°b'l
bubbled: bu°b'ld
bubbler: bu°bl'r
bubbles: bu°b'lz
bubbling: bu°b'liń
bubbly: bu°blë
bubby: bu°bë
Buber: bü°b'r
bubinga: b'bi°ńg'
bubo: byü°bö
bubonic: byübo°nik
bubonocele: byübá°n'sël
Bucaramanga: büká°rámá°ńgá
buccal: bu°k'l
buccaneer: buk'në°r
buccaneers: buk'në°rz
buccinator: bu°ks'nät'r
buccinatory: bu°ks'n'törë
bucentaur: byüse°ntor
Bucephalus: byüse°f'l's
Buchan: bu°k'n
Buchanan: byüka°n'n
Bucharest: bü°k'rest
Buchenwald: bú°k'nwáld
Buchmanism: bú°km'niz'm
Buchner: bu°kn'r
Buchwald: bu°kwóld
buck: bu°k
buckaroo: bu°k'rü
buckayro: b'kä°rö
buckbean: bu°kbën
buckboard: bu°kbörd
bucked: bu°kt
buckeen: b'kë°n
bucker: bu°k'r
bucket: bu°kit
bucketful: bu°kitfúl
buckets: bu°k'ts
buckeye: bu°kï
buckeyes: bu°kïz
buckhorn: bu°khórn
buckhound: bu°khaúnd
bucking: bu°kiń
Buckingham: bu°kińham
Buckinghamshire: bu°kiń'mśër
buckish: bu°kiś
buckishly: bu°kiślë
buckjump: bu°kjump
buckjumper: bu°kjump'r
buckle: bu°k'l
buckled: bu°k'ld
buckler: bu°kl'r
buckles: bu°k'lz
Buckley: bu°klë
buckling: bu°kliń
Buckner: bu°kn'r
bucko: bu°kö
buckra: bu°kr'
buckram: bu°kr'm
bucks: bu°ks
bucksaw: bu°kso
buckshee: bu°kśë
buckshot: bu°kśot
buckskin: bu°kskin
buckskins: bu°kskinz
bucktail: bu°ktäl
buckthorn: bu°kþórn
bucktooth: bu°ktüþ
buckwheat: bu°kwët
bucolic: byüko°lik
bucolics: byüko°liks
Bucovina: bük'vë°n'
bud: bu°d
Budapest: bü°d'pest
Buddha: bü°d'
Buddhahood: bú°d'húd
buddhi: bú°dë
Buddhism: bü°diz'm
Buddhist: bü°d'st
Buddhists: bü°d'sts
Buddhology: búdá°l'jë
buddies: bu°dëz
budding: bu°diń
buddle: bu°d'l
buddleia: b'dlë°'
buddy: bu°dë
budge: bu°j
budged: bu°jd
budgeree: bu°j'rë
budgerigar: bu°j'rëgár
budget: bu°jit
budgetary: bu°jiterë
budgeted: bu°jit'd
budgeteer: bujiti°r
budgeteers: bujiti°rz
budgeting: bu°jitiń
budgets: bu°jits
budgie: bu°jë
budging: bu°jiń
buds: bu°dz
Budweis: bú°tvïs
Budweiser: bu°dwïz'r
Buenaventura: bwän'ventú°r'
bueno: bwe°no
buff: bu°f
buffa: bu°f'
buffalo: bu°f'lö
buffalofish: bu°f'löfiś
buffe: b'f
buffer: bu°f'r
buffered: bu°f'rd
buffering: bu°f'riń
buffers: bu°f'rz
buffet: b'fä°
buffeted: bu°fitid
buffeting: bu°f'tiń
buffets: b'fä°z
bufflehead: bu°f'lhed
buffo: bü°fö
Buffon: bëfo°ń
buffoon: b'fü°n
buffoonery: b'fü°n'rë
buffs: bu°fs
Buffy: bu°fë
Buford: byü°f'rd
bufotenine: byüf'te°nën
bug: bu°g
bugaboo: bu°g'bü
Bugatti: b'go°të
bugbane: bu°gbän
bugbear: bu°gbär
bugeye: bu°gï
bugeyed: bu°gïd
bugged: bu°gd
bugger: bu°g'r
buggers: bu°g'rz
buggery: bu°g'rë
buggies: bu°gëz
bugging: bu°giń
buggy: bu°gë
bughouse: bu°ghaús
bugle: byü°g'l
bugles: byü°g'lz
bugleweed: byü°g'lwëd
bugling: byü°gliń
bugloss: byü°glos
bugout: bu°gaút
bugs: bu°gz
bugseed: bu°gsëd
buhl: bü°l
buhlwork: bü°lwérk
buhr: byú°r
buhrstone: bé°rstön
Buick: byü°ik
build: bi°ld
buildable: bi°ld'b'l
builder: bi°ld'r
builders: bi°ld'rz
building: bi°ldiń
buildings: bi°ldińz
builds: bi°ldz
buildup: bi°ldup
buildups: bi°ldups
built: bi°lt
buirdly: bë°rdlë
Buitenzorg: boi°t'nźórk
Bujumbura: búźúmbú°rá
Bukavu: büká°vü
Bukhara: búká°r'
Bukharin: bu°kh'rin
Bukovina: bükóvi°no
bul: bü°l
Bulawayo: büláwá°yö
bulb: bu°lb
bulbar: bu°lb'r
bulbel: bu°lb'l
bulbiferous: b'lbi°f'r's
bulbil: bu°lbil
bulbous: bu°lb's
bulbs: bu°lbz
bulbul: bú°lbúl
Bulfinch: bú°lfinć
Bulganin: búlgá°nin
Bulgar: bu°lg'r
Bulgaria: b'lgä°rë'
Bulgarian: b'lgä°rë'n
Bulgarians: b'lge°rë'nz
bulge: bu°lj
bulged: bu°ljd
bulger: bu°lg'r
bulges: bu°ljiz
bulging: bu°ljiń
bulgur: bu°lg'r
bulimia: byüli°më'
bulimiac: byüli°mëak
bulimic: büli°mik
bulk: bu°lk
bulkhead: bu°lkhed
bulkheads: bu°lkhedz
bulkier: bu°lkë'r
bulky: bu°lkë
bull: bú°l
bulla: bú°l'
bullace: bú°lis
bullae: bú°lë
bullary: bú°l'rë
bullate: bú°lät
bullbaiting: bú°lbätiń
bullbat: bú°lbat
bulldog: bú°ldóg
bulldogs: bú°ldógz
bulldoze: bú°ldöz
bulldozed: bú°ldözd
bulldozer: bú°ldöz'r
bulldozers: bú°ldöz'rz
bulldozes: bú°ldöziz
bulldozing: bú°ldöziń
bullet: bú°l't
bullethead: bú°lithed
bulletin: bú°lit'n
bulletins: bú°l't'nz
bulletproof: bú°l'tprüf
bullets: bú°l'ts
bullfight: bú°lfït
bullfighter: bú°lfït'r
bullfighting: bú°lfïtiń
bullfights: bú°lfïtz
bullfinch: bú°lfinć
bullfrog: bú°lfróg
bullfrogs: bú°lfrógz
bullhead: bú°lhed
bullheaded: bú°lhe°did
bullheadedly: bú°lhe°didlë
bullheadedness: bú°lhe°didnes
bullheads: bú°lhedz
bullhorn: bú°lhórn
bullhorns: bú°lhórnz
bullied: bú°lëd
bullies: bú°lëz
bullion: bú°ly'n
bullionist: bú°ly'nist
bullish: bú°liś
bullishly: bú°liślë
bullishness: bú°liśn's
bullnose: bú°lnöz
Bullock: bú°l'k
bullocks: bú°l'ks
bullocky: bú°l'kë
bullous: bu°l's
bullpen: bú°lpen
bullpout: bú°lpaút
Bullpup: bú°lpup
bullring: bú°lriń
bullroarer: bú°lrör'r
bulls: bú°lz
bullshit: bú°lśit
bullsnake: bú°lsnäk
bullterrier: búlte°rë'r
bullwhip: bú°lẃip
Bullwinkle: bú°lwińk'l
bully: bú°lë
bullyboy: bú°lëboi
bullying: bú°lëiń
bullyrag: bú°lërag
bulrush: bú°lruś
Bultmann: bú°ltmán
bulwark: bú°lw'rk
bum: bu°m
bumbailiff: bumbä°lif
bumbershoot: bu°mb'rśüt
bumble: bu°mb'l
bumblebee: bu°mb'lbë
bumblefoot: bu°mb'lfút
bumblepuppy: bu°mb'lpupë
bumbling: bu°mbliń
bumblingly: bu°mblińlë
bumboat: bu°mböt
bumf: b'mf
bumkin: bu°mkin
bummalo: bu°m'lö
bummaree: bum'rë°
bummed: bu°md
bummer: bu°m'r
bump: bu°mp
bumped: bu°mpt
bumper: bu°mp'r
bumpers: bu°mp'rz
bumping: bu°mpiń
bumpkin: bu°mpkin
bumpkinly: bu°mpkinlë
bumpoff: bu°mpof
bumps: bu°mps
bumptious: bu°mpś's
bumptiously: bu°mpś'slë
bumptiousness: bu°mpś'snes
bumpy: bu°mpë
bums: bu°mz
bun: bu°n
Buna: bü°n'
bunce: bu°ns
bunch: bu°nć
bunchberry: bu°nćberë
Bunche: bu°nć
bunched: bu°nćt
bunches: bu°nć'z
bunchflower: bu°nćflaú'r
bunching: bu°nćiń
bunchy: bu°nćë
bunco: bu°ńkö
Bund: bu°nd
Bundelkhand: bund'lku°nd
Bundesbank: bú°ndisbańk
Bundesrat: bü°ndesrát
Bundesrath: bú°nd'srát
Bundestag: bu°nd'stag
bundle: bu°nd'l
bundled: bu°nd'ld
bundles: bu°nd'lz
bundling: bu°ndliń
bundobust: bu°nd'bust
Bunds: bu°ndz
bundy: bu°ndë
bung: bu°ń
bungaloid: bu°ńg'loid
bungalow: bu°ńg'lö
bungalows: bu°ńg'löz
bungee: bu°një
bungey: bu°një
bunghole: bu°ńhöl
bungle: bu°ńg'l
bungled: bu°ńg'ld
bungler: bu°ńgl'r
bunglers: bu°ńgl'rz
bunglesome: bu°ńg'ls'm
bungling: bu°ńgliń
bunia: bü°nyá
Bunin: bü°nin
bunion: bu°ny'n
bunk: bu°ńk
bunker: bu°ńk'r
bunkers: bu°ńk'rz
bunkhouse: bu°ńkhaús
bunkmate: bu°ńkmät
bunks: bu°ńks
bunkum: bu°ńk'm
bunn: bu°n
bunnies: bu°nëz
bunny: bu°në
bunodont: byü°n'dont
buns: bu°nz
Bunsen: bu°ns'n
bunt: bu°nt
buntal: bu°nt'l
bunting: bu°ntiń
buntline: bu°ntlin
bunya: bu°ny'
Bunyan: bu°ny'n
Bunyanesque: buny'ne°sk
bunyip: bu°nyip
Buonaparte: bwonápá°rte
Buonarroti: bwonárro°të
buoy: bü°ë
buoyage: bü°ëij
buoyancy: boi°'nsë
buoyant: boi°'nt
buoyantly: boi°'ntlë
buoyed: bü°ëd
buoying: boi°iń
buoys: bü°ëz
buprestid: byüpre°stid
bur: bé°r
buran: búrá°n
buras: byü°r'z
Burbage: bé°rbij
Burbank: bé°rbańk
Burberry: bé°rb'rë
burble: bé°rb'l
burbled: bé°rb'ld
burbles: bé°rb'lz
burbling: bé°rbliń
burbot: bé°rb't
Burch: bé°rć
burd: bé°rd
burden: bé°rd'n
burdened: bé°rd'nd
burdening: bé°rd'niń
burdens: bé°rd'nz
burdensome: bé°rd'ns'm
burdock: bé°rdok
bureau: byú°rö
bureaucracies: byúro°kr'sëz
bureaucracy: byúrá°kr'së
bureaucrat: byú°r'krat
bureaucratese: byú°r'kratëz
bureaucratic: byúr'kra°tik
bureaucratise:> bureaucratize
bureaucratism: byú°r'kratiz'm
bureaucratize: byúrá°kr'tïz
bureaucrats: byú°r'krats
bureaus: byú°röz
burette: byúre°t
burg: bé°rg
burgage: bé°rgij
Burgas: búrgá°s
burgee: bé°rgë
Burgenland: bú°rg'nlánt
burgeon: bé°rj'n
burgeoned: bé°rj'nd
burgeoning: bé°rj'niń
burger: bé°rg'r
burgers: bé°rg'rz
Burgess: bé°rj's
burgh: bé°rg
burghal: bé°rg'l
burgher: bé°rg'r
Burghley: bé°rglë
burglar: bé°rgl'r
burglaries: bé°rgl'rëz
burglarious: b'rglä°rë's
burglariously: b'rglä°rë'slë
burglarise:> burglarize
burglarised:> burglarized
burglarize: bé°rgl'rïz
burglarized: bé°rgl'rïzd
burglarproof: bé°rgl'rprüf
burglars: bé°rgl'rz
burglary: bé°rgl'rë
burgle: bé°rg'l
burgling: bé°rgliń
burgomaster: bé°rg'mast'r
burgomasters: bé°rg'mast'rz
burgonet: bé°rg'net
burgoo: bé°rgü
Burgoyne: b'rgoi°n
burgrave: bé°rgräv
Burgundian: b'rgu°ndë'n
Burgundians: b'rgu°ndë'nz
Burgundies: bé°rg'ndëz
Burgundy: bé°rg'ndë
burial: be°rë'l
burials: be°rë'lz
buried: be°rëd
burier: be°rë'r
buries: be°rëz
burin: byú°rin
burka: bú°rk'
Burke: bé°rk
burkes: bé°rks
Burkina: b'rkë°n'
burkite: bé°rkït
Burks: bé°rks
Burl: bé°rl
burlap: bé°rlap
Burleigh: bé°rlë
burlesque: b'rle°sk
burlesquely: b'rle°sklë
burletta: b'rle°t'
Burley: bé°rlë
burling: bé°rliń
Burlington: bé°rlińt'n
burly: bé°rlë
Burma: bé°rm'
Burman: bé°rm'n
Burmans: bé°rm'nz
Burmese: b'rmë°z
burn: bé°rn
burnable: bé°rn'b'l
burned: bé°rnd
burner: bé°rn'r
burners: bé°rn'rz
Burnet: b'rne°t
Burnett: b'rne°t
Burney: bé°rnë
burning: bé°rniń
burningly: bé°rnińlë
burnings: bé°rnińz
burnish: bé°rniś
burnished: bé°rniśt
burnisher: bé°rniś'r
Burnley: bé°rnlë
burnoose: b'rnü°s
burnout: bé°rnaút
burns: bé°rnz
Burnside: bé°rnsïd
burnsides: bé°rnsïdz
burnt: bé°rnt
burnup: bé°rnup
burp: bé°rp
burping: bé°rpiń
burr: bé°r
burrawang: bu°r'wań
burred: bé°rd
burrell: b're°l
burrer: bé°r'r
burrhel: bé°r'l
burrier: bé°rë'r
Burris: bé°ris
burrito: b'rë°tö
burritos: b'rë°tös
burro: bé°rö
burros: bé°röz
Burroughs: bé°röz
burrow: bé°rö
burrower: bé°rö'r
burrowers: bé°rö'rz
burrowing: bé°röiń
burrows: bé°röz
burrstone: bé°rstön
burry: bé°rë
Bursa: bü°rsá
bursal: bé°rs'l
bursar: bé°rs'r
bursarial: b'rsä°rë'l
bursary: bé°rs'rë
bursate: bé°rsät
Burschenschaft: bú°rś'nśáft
burse: bé°rs
burseed: bé°rsëd
burseraceous: bérs'rä°ś's
bursiform: bé°rs'fórm
bursitis: b'rsï°tis
burst: bé°rst
burster: bé°rst'r
bursting: bé°rstiń
burstone: bé°rstön
bursts: bé°rsts
Burt: bé°rt
burthen: bé°rð'n
Burton: bé°rt'n
Burundi: b'ru°ndë
Burushaski: búr'śá°skë
burweed: bé°rwëd
bury: be°rë
burying: be°rëiń
bus: bu°s
busbar: bu°sbár
busboy: bu°sboi
busboys: bu°sboiz
busby: bu°zbë
Busch: bú°ś
bused: bu°st
buses: bu°siz
bush: bú°ś
bushbuck: bú°śbuk
bushcraft: bú°śkraft
bushed: bú°śt
bushel: bú°ś'l
bushelbasket: bú°ś'lbask't
bushelman: bú°ś'lman
bushels: bú°ś'lz
busher: bú°ś'r
bushes: bú°ś'z
bushfire: bú°śfï'r
bushhammer: bú°śham'r
Bushido: bü°śëdo°
bushiness: bú°śënis
bushing: bú°śiń
bushings: bú°śińz
Bushire: büśë°r
bushman: bú°śm'n
bushmanship: bú°śm'nśip
bushmaster: bú°śmast'r
bushmen: bú°śmen
Bushnell: bú°śn'l
bushranger: bú°śränj'r
bushveld: bú°śfelt
bushwa: bú°śwá
bushwhack: bú°śwak
bushwhacked: bú°śwakt
bushwhacker: bú°śẃak'r
bushwhacking: bú°śwakiń
bushwhacks: bú°śwaks
bushy: bú°śë
busied: bi°zëd
busier: bi°zë'r
busiest: bi°zë'st
busily: bi°z'lë
business: bi°znis
businesses: bi°zn's'z
businesslike: bi°znislïk
businessman: bi°znisman
businessmen: bi°znismen
businesspeople: bi°zn'spë°p'l
businessperson: bi°zn'spé°rs'n
businesswoman: bi°zniswúm'n
businesswomen: bi°zn'swö°m'n
busing: bu°siń
busk: bu°sk
busker: bu°sk'r
buskin: bu°skin
buskined: bu°skind
busload: bu°slöd
busloads: b'slö°dz
busman: bu°sm'n
Busoni: byüsö°në
Busra: bu°sr'
buss: bu°s
bussed:> bused
busses:> buses
bussing:> busing
bust: bu°st
bustard: bu°st'rd
busted: bu°stid
bustee: bu°stë
buster: bu°st'r
busters: bu°st'rz
bustic: bu°stik
bustier: bu°sty'r
busting: bu°stiń
bustle: bu°s'l
bustling: bu°s'liń
busts: bu°sts
busty: bu°stë
busy: bi°zë
busybody: bi°zëbádë
busyness: bi°zënis
busywork: bi°zëwérk
but: bu°t
butacaine: byü°t'kän
butadiene: byüt'dï°ën
butane: byü°tän
butanol: byü°t'nöl
butanone: byü°t'nön
Butazolidin: byüt'zö°l'din
butch: bú°ć
butcher: bú°ć'r
butcherbird: bú°ć'rbérd
butchered: bú°ć'rd
butchering: bú°ć'riń
butcherly: bú°ć'rlë
butchers: bú°ć'rz
butchery: bú°ć'rë
Bute: byü°t
butene: byü°tën
buteo: byú°tëö
butes: byü°tëz
butler: bu°tl'r
butlerage: bu°tl'rij
butlers: bu°tl'rz
butlery: bu°tl'rë
buts: bu°ts
butsu: bú°tsú
butt: bu°t
buttals: bu°t'lz
butte: byü°t
butter: bu°t'r
butterball: bu°t'rbál
butterballs: bu°t'rbólz
butterbump: bu°t'rbump
butterbur: bu°t'rbér
buttercup: bu°t'rkup
buttercups: bu°t'rkups
buttered: bu°t'rd
butterfat: bu°t'rfat
butterfingered: but'rfi°ńg'rd
butterfingers: bu°t'rfińgerz
butterfish: bu°t'rfiś
butterflies: bu°t'rflïz
butterfly: bu°t'rflï
butterflyfish: bu°t'rflïfiś
buttering: bu°t'riń
buttermilk: bu°t'rmilk
butternut: bu°t'rnut
butters: bu°t'rz
butterscotch: bu°t'rskoć
butterweed: bu°t'rwëd
butterwort: bu°t'rwért
buttery: bu°t'rë
butthead: bu°thed
butting: bu°tiń
buttinsky: b'ti°nskë
buttle: bu°t'l
buttock: bu°t'k
buttocks: bu°t'ks
button: bu°t'n
buttonball: bu°t'nbál
buttonbush: bu°t'nbúś
buttoned: bu°t'nd
buttonhole: bu°t'nhöl
buttonholed: bu°t'nhöld
buttonholes: bu°t'nhölz
buttonhook: bu°t'nhúk
buttonless: bu°t'nlis
buttonmold: bu°t'nmöld
buttons: bu°t'nz
buttonwood: bu°t'nwúd
buttony: bu°t'në
buttress: bu°tr's
buttressed: bu°tr'st
buttresses: bu°tr's'z
buttressing: bu°tr'siń
butts: bu°ts
buttstock: bu°tstok
butty: bu°të
butyl: byü°t'l
butylene: byü°t'lën
butyraceous: byüt'rä°ś's
butyral: byü°t'ral
butyraldehyde: byüt'ra°ld'hïd
butyrate: byü°t'rät
butyric: byüti°rik
butyrin: byü°t'rin
butyryl: byü°t'ril
buxom: bu°ks'm
buxomness: bu°ks'mnes
Buxtehude: bú°kst'hüd'
buy: bï°
buyback: bï°bak
buybacks: bï°baks
buyer: bï°'r
buyers: bï°'rz
buying: bï°iń
buyout: bï°aút
buyouts: bï°aúts
buys: bï°z
buzz: bu°z
buzzard: bu°z'rd
buzzards: bu°z'rdz
buzzed: bu°zd
buzzer: bu°z'r
buzzes: bu°ziz
buzzing: bu°ziń
buzzwig: bu°zwig
buzzword: bu°zw'rd
buzzwords: bu°zw'rdz
buzzy: bu°zë
bwana: bwá°n'
by: bï°
Byblos: bi°bl's
Bydgoszcz: bi°dgáśtś
bye: bï°
Byelorussian: byelöru°ś'n
Byelostok: byelosto°k
Byers: bï°'rz
bygone: bï°gón
bygones: bï°gónz
bylaw: bï°ló
bylaws: bï°lóz
byline: bï°lïn
byliner: bï°lïn'r
bylines: bï°lënz
byname: bï°näm
Byng: bi°ń
bypass: bï°pas
bypassed: bï°past
bypasses: bï°pasiz
bypassing: bï°pasiń
bypath: bï°páþ
byplay: bï°plä
byproduct: bï°prod'kt
byproducts: bï°pród'kts
Byrd: bé°rd
byre: bï°'r
byrl: bé°rl
byrnie: bé°rnë
byroad: bï°röd
Byron: bï°r'n
Byronic: bïro°nik
byssaceous: bisä°ś's
byssinosis: bisinö°sis
byssus: bi°s's
bystander: bï°stand'r
bystanders: bï°stand'rz
byte: bï°t
bytes: bï°ts
Bytom: bi°tom
bytownite: bïtaú°nït
byway: bï°wä
byways: bï°wäz
bywoner: bï°vön'r
byword: bï°wérd
byzant: bi°z'nt
Byzantine: bi°z'ntën
Byzantium: b'za°ntë'm
C: së°
CA: ku°
Caaba: ká°b'
cab: ka°b
caba: ko°b'
cabal: k'ba°l
cabala: ka°b'l'
cabalism: ka°b'liz'm
cabalist: ka°b'list
cabalistic: kab'li°stik
caballero: kab'ye°rö
caballeros: kab'lyä°röz
cabana: kábá°nyá
cabanas: k'ba°n'z
Cabanatuan: kávánátwá°n
cabaret: kab'rä°
cabarets: kab'rä°z
cabasset: kab'sä°
cabbage: ka°bij
cabbagehead: ka°bijhed
cabbages: ka°bijiz
cabbageworm: ka°bijwérm
Cabbala: ka°b'l'
cabbies: ka°bëz
cabby: ka°bë
cabdriver: ka°bdrïv'r
cabdrivers: ka°bdrïv'rz
caber: kä°b'r
Cabernet: kab'rnä°
Cabernets: kab'rne°ts
cabezon: ka°bizán
cabezone: ka°bizön
cabildo: kávë°lðo
cabin: ka°bin
Cabinda: k'bi°nd'
cabinet: ka°b'n't
cabinetmaker: ka°b'nitmäk'r
cabinetmaking: ka°b'nitmäkiń
cabinetry: ka°bn'trë
cabinets: ka°b'n'ts
cabinetwork: ka°b'nitwérk
cabins: ka°b'nz
cable: kä°b'l
cabled: kä°b'ld
cablegram: kä°b'lgram
cablelaid: kä°b'läd
cabler: kä°bl'r
cables: kä°b'lz
cablet: kä°blit
cablevision: kä°b'lviź'n
cableway: kä°b'lwä
cabling: kä°bliń
cabman: ka°bm'n
cabob: k'bá°b
caboched: k'bá°śt
cabochon: ka°b'śán
Caboclo: k'bo°klü
cabomba: k'bá°mb'
caboodle: k'bü°d'l
caboose: k'bü°s
cabooses: k'bü°siz
caboshed: k'bá°śt
Cabot: ka°b't
cabotage: ka°b'tij
Cabral: ka°br'l
Cabrera: kávre°rá
cabretta: k'bre°t'
cabrilla: k'bri°l'
Cabrini: k'brë°në
cabriole: ka°brëöl
cabriolet: kabrëöle°t
cabs: ka°bz
cabstand: ka°bstand
caca: kä°k'
cacao: k'kä°ö
cacciatora: káć'tö°r'
cacciatore: káć'tö°rë
cachalot: ka°ś'lot
cache: ka°ś
cachectic: k'ke°ktik
cached: ka°śt
cachepot: ka°śpát
caches: ka°śiz
cachet: ka°śä
cachets: kaśä°z
cachexia: k'ke°ksë'
caching: ka°śiń
cachinnate: ka°k'nät
cacholong: ka°ś'loń
cachou: k'śü°
