Traditional,POS,Redirect,Lytspel
determine,,,di'turmin
determined,,,di'turmind
determinedly,,,di'turmindli
determiner,,,di'turminer
determines,,,di'turmins
determining,,,di'turmining
determinism,,,di'turminism
determinist,,,di'turminist
deterministic,,,diturmi'nistic
deterred,,,di'turd
deterrence,,,di'turenss
deterrent,,,di'turent
deterrents,,,di'turents
deterring,,,di'turing
deters,,,di'turs
detersive,,,di'tursiv
detest,,,di'test
detestable,,,di'testebl
detestation,,,dites'taition
detested,,,di'tested
dethrone,,,dee'throan
dethroned,,,dee'throand
detinue,,,detenue
detonability,,,detena'biliti
detonate,,,detenait
detonated,,,detenaited
detonating,,,detenaiting
detonation,,,deto'naition
detonations,,,deto'naishens
detonator,,,detenaiter
detonators,,,detenaiters
detour,,,deetoor
detoured,,,deetoord
detours,,,deetoors
detox,,,deetox
detoxicant,,,dee'toxikent
detoxicate,,,dee'toxicait
detoxication,,,deetoxi'caition
detoxification,,,ditoxifi'caition
detoxify,,,dee'toxify
detract,,,di'tract
detracted,,,di'tracted
detracting,,,di'tracting
detraction,,,di'traction
detractive,,,di'tractiv
detractor,,,di'tracter
detractors,,,di'tracters
detractory,,,di'tracteri
detracts,,,di'tracts
detrain,,,dee'train
detribalise,,detribalize
detribalize,,,detribelys
detriment,,,detriment
detrimental,,,detri'mentl
detrimentally,,,detri'menteli
detrital,,,detritl
detrition,,,de'trition
detritus,,,di'trytuss
Detroit,,,Di'troit
Detroiters,,,Deetroiters
detrude,,,di'truud
detruncate,,,di'truncait
detrusion,,,di'truusion
detumescence,,,ditue'mecenss
Deucalion,,,Diu'calian
deuce,,,diuss
deuced,,,duucid
deucedly,,,diucidli
deus,,,diass
deuteragonist,,,diute'ragenist
deuteranomaly,,,duutera'nomeli
deuteranope,,,diuteranoap
deuteranopia,,,diutera'noapia
deuteranopic,,,diutera'nopic
deuterate,,,diuterait
deuterium,,,diu'teeriam
deuterogamy,,,diuterogami
deuteron,,,duuteron
Deuteronomic,,,Diutero'nomic
Deuteronomist,,,Diute'ronemist
Deuteronomy,,,Diute'ronemi
deuterons,,,duuterons
deuton,,,duuton
deutoplasm,,,diuteplasm
deutschemark,,,doichimark
deutschemarks,,,doichimarx
Deutschland,,,Doichland
deutzia,,,diutsia
dev,,,dev
deva,,,deeva
devaluate,,,dee'valiuait
devaluated,,,dee'valiuaited
devaluation,,,deevaliu'aition
devaluations,,,deevaliu'aishens
devalue,,,dee'valiu
devalued,,,dee'valiud
devaluing,,,di'valiuing
devanagari,,,divana'gari
devastate,,,devestait
devastated,,,devestaited
devastating,,,devestaiting
devastatingly,,,devestaitingli
devastation,,,devas'taition
devein,,,di'veen
devel,,,devel
develop,,,di'velep
developable,,,di'velepebl
develope,,,di'velep
developed,,,di'velept
developer,,,di'veleper
developers,,,di'velepers
developing,,,di'veleping
development,,,di'velepment
developmental,,,divelop'mentl
developmentally,,,divelop'menteli
developments,,,di'velepments
developpe,,,di'velepp
develops,,,di'veleps
Deventer,,,Di'venter
Devereux,,,Deveru
devest,,,di'vest
Devi,,,Daivi
deviance,,,deevianss
deviancy,,,deeviansi
deviant,,,deeviant
deviants,,,deeviants
deviate,n,,deeviit
deviate,v,,deeviait
deviated,,,deeviaited
deviates,,,deeviaits
deviating,,,deeviaiting
deviation,,,deevi'aition
deviationism,,,deevi'aishenism
deviations,,,deevi'aishens
deviatory,,,deeviateri
device,,,di'vyss
devices,,,di'vyces
devil,,,devel
deviled,,,develd
devilfish,,,devilfish
devilish,,,devilish
devilishly,,,devilishli
devilishness,,,devilishness
devilkin,,,devilkin
devilled,,deviled
devilment,,,develment
devilry,,,devilri
devils,,,devels
deviltry,,,deviltri
devilwood,,,develwood
Devin,,,Devin
devious,,,deeviass
deviously,,,deeviasli
deviousness,,,deeviasness
devisable,,,di'vysebl
devisal,,,divysl
devise,,,di'vys
devised,,,di'vyzd
devisee,,,divy'see
devises,,,di'vyses
devising,,,di'vysing
devisor,,,di'vyser
devitalise,,devitalize
devitalize,,,di'vytelys
devitrify,,,di'vitrify
devocalise,,devocalize
devocalize,,,di'vokelys
devoice,,,di'voiss
devoid,,,di'void
devoir,,,dev'war
devoirs,,,dev'wars
devolatilise,,devolatilize
devolatilize,,,di'volatilys
devolution,,,devo'luution
devolve,,,di'volv
devolved,,,di'volvd
devon,,,deven
devonian,,,de'voanian
devonport,,,devenpoart
devore,,,dever
devote,,,di'voat
devoted,,,di'voated
devotedly,,,di'voatidli
devotedness,,,di'voatedness
devotee,,,devo'tee
devotees,,,devo'tees
devotement,,,di'voatment
devotes,,,di'voats
devoting,,,di'voating
devotion,,,di'voation
devotional,,,di'voashenel
devour,,,di'vour
devoured,,,di'vourd
devouring,,,di'vouring
devours,,,di'vours
devout,,,di'vout
devoutly,,,di'voutli
dew,,,due
dewan,,,dueen
dewar,,,dueor
dewater,,,dueauter
Dewayne,,,Dueain
dewberry,,,dueberri
dewclaw,,,dueclaw
dewdrop,,,duedrop
Dewey,,,Duei
Deweyan,,,Dueian
dewfall,,,duefall
dewing,,,dueing
dewitt,,,de'wit
dewlap,,,duelap
dews,,,dues
dewy,,,duei
dex,,,dex
dexamethasone,,,dexamethassoan
Dexamyl,,,Dexamil
Dexedrine,,,Dexidreen
dexter,,,dexter
dexterity,,,dex'territi
dexterous,,,dexteruss
dextrad,,,dextrad
dextral,,,dextrel
dextrality,,,dextreliti
dextrally,,,dextreli
dextran,,,dextran
dextrin,,,dextrin
dextrine,,,dextrin
dextro,,,dextro
dextroamphetamine,,,dextroam'fetameen
dextrocardia,,,dextro'cardia
dextrocular,,,dex'trokyuler
dextroglucose,,,dextregluucoass
dextrogyrate,,,dextrejirait
dextrogyre,,,dextrejyr
dextrorotary,,,dextroaroateri
dextrorotation,,,dextroaroa'taition
dextrorotatory,,,dextroroateteri
dextrorse,,,dextrorss
dextrorsely,,,dextrorsli
dextrose,,,dextroas
dextrosinistral,,,dextrecinistrel
dey,,,day
Dezhnev,,,Dezhnev
Dhahran,,,Daren
Dhaka,,,Daca
dhal,,,dhaal
Dhammapada,,,Dama'paada
dharana,,,darenaa
dharma,,,darma
dharna,,,darna
Dhaulagiri,,,Daula'jeeri
dhobi,,,doabi
dhole,,,doal
dhooly,,,duuli
dhoti,,,doati
dhow,,,dow
dhows,,,dous
dhurna,,,durna
dhurrie,,,durri
dhuti,,,diuti
dhyana,,,dyaana
di,,,di
diabase,,,daiebaiss
diabasic,,,daia'baicic
diabetes,,,daia'beetees
diabetic,,,daia'betic
diabetics,,,daia'betix
diablerie,,,di'aableri
diablery,,,di'aableri
diablo,,,di'aablo
diabolic,,,daia'bolic
diabolical,,,daia'bolicl
diabolise,,diabolize
diabolism,,,daieboalism
diabolize,,,daiebolys
diabolo,,,di'abelo
diacaustic,,,daia'caustic
diacetyl,,,daiecetyl
diacetylmorphine,,,daiecetilmoarfeen
diachronic,,,daia'cronic
diachronism,,,daiecrenism
diachronous,,,daiecrenuss
diachylon,,,daiechilen
diachylum,,,daiechylum
diacid,,,daiecid
diaconal,,,daieconel
diaconate,,,daieconait
diaconicon,,,daia'conecon
diaconicum,,,daieconicum
diacritic,,,daia'critic
diacritical,,,daia'criticl
diactinic,,,daiac'tinic
diadelphous,,,daiedelfuss
diadem,,,daiedem
diadochi,,,daia'dochi
diadochy,,,daiedochi
diadromous,,,daiedremuss
diaene,,diene
diaeresis,,,dai'erriciss
diaeretic,,dieretic
diagenesis,,,daia'jeniciss
diagenetic,,,daieje'netic
diageotropic,,,daiejia'tropic
diageotropism,,,daiejiotroapism
Diaghilev,,,Daieghylev
diagnose,,,daiag'noas
diagnosed,,,daiag'noazd
diagnoses,,,daiag'noases
diagnosing,,,daiag'noasing
diagnosis,,,daiag'noaciss
diagnostic,,,daiag'nostic
diagnostician,,,daiegnos'tition
diagnostics,,,daiag'nostix
diagonal,,,dai'agenel
diagonally,,,dai'ageneli
diagonals,,,dai'agenels
diagram,,,daiegram
diagrammatic,,,daiegra'matic
diagrammed,,,daiegramd
diagrams,,,daiegrams
diagraph,,,daiegraf
diagrid,,,daiegrid
diakinesis,,,daieki'neeciss
dial,,,daiel
dialect,,,daielect
dialectal,,,daielectl
dialectally,,,daia'lecteli
dialectic,,,daia'lectic
dialectical,,,daia'lecticl
dialectically,,,daia'lecticli
dialectician,,,daielec'tition
dialecticism,,,daia'lecticism
dialectics,,,daia'lectix
dialectologist,,,daielec'tolejist
dialectology,,,daielec'toleji
dialects,,,daielects
dialed,,,daield
dialing,,,daieling
diallage,,,daielij
dialled,,dialed
dialling,,dialing
dialog,,,daielog
dialogic,,,daia'lojic
dialogise,,dialogize
dialogism,,,daielejism
dialogist,,,daielejist
dialogistic,,,daielo'jistic
dialogite,,,daielejyt
dialogize,,,daielejys
dialogue,,,daielog
dialogues,,,daielogs
dials,,,daiels
dialysate,,dialyzate
dialyse,,dialyze
dialyser,,dialyzer
dialysis,,,daieleciss
dialytic,,,daia'litic
dialyzate,,,daielisait
dialyze,,,daielys
dialyzer,,,daielyser
diamagnet,,,daiemagnit
diamagnetic,,,daiemag'netic
diamagnetism,,,daiemagnitism
diamante,,,daia'monti
diamantiferous,,,daieman'tiferuss
diamantine,,,daia'mantyn
diameter,,,dai'ameter
diametral,,,daiemetrel
diametrally,,,daiemetreli
diametric,,,daia'metric
diametrical,,,daia'metricl
diametrically,,,daia'metricli
diamine,,,daiemyn
diamond,,,dymend
diamondback,,,dymendbak
diamonds,,,dymends
diamorphine,,,daiemoarfeen
Diana,,,Dai'ana
diandrous,,,dai'andruss
Diane,,,Dai'an
dianetics,,,daia'netix
Dianna,,,Dai'ana
Dianne,,,Dai'an
dianoetic,,,daia'noatic
dianoia,,,dai'anoya
dianthus,,,dai'anthuss
diapason,,,daiepacen
diapause,,,daiepaus
diapedesis,,,daiepedecees
diapedetic,,,daiepi'detic
diaper,,,dyper
diapering,,,dypering
diapers,,,dypers
diaphane,,,daiefain
diaphaneity,,,diafa'neeiti
diaphanometer,,,daiafa'nomiter
diaphanous,,,dai'afenuss
diaphanously,,,dai'afenusli
diaphanousness,,,dai'afenusness
diaphone,,,daiefoan
diaphoresis,,,daiefo'reeciss
diaphoretic,,,daiefe'retic
diaphragm,,,daiefram
diaphragmatic,,,daiefrag'matic
diaphysial,,,daia'fisial
diaphysis,,,daiefeciss
diapophysial,,,daiapo'fisial
diapophysis,,,daiepefeciss
diapositive,,,daia'positiv
diapsid,,,daiepsid
diarchal,,,daieechel
diarchic,,,daierekic
diarchy,,,daiarki
diaries,,,daieris
diarise,,diarize
diarist,,,daierist
diarize,,,daierys
diarrhea,,,daie'ria
diarrheas,,,daie'rias
diarrhetic,,,daie'rhetic
diarrhoea,,diarrhea
diarrhoeas,,diarrheas
diarrhoetic,,diarrhetic
diarthrodial,,,daiar'throadial
diarthrosis,,,daiar'throaciss
diary,,,daieri
Dias,,,Daies
diascope,,,daiescoap
diaspora,,,dai'aspera
diaspore,,,daiespoar
diastase,,,daiestaiss
diastasic,,,daias'tasic
diastasis,,,daiestacees
diastatic,,,daia'static
diastema,,,daiestema
diaster,,,daiester
diastole,,,daiestoal
diastolic,,,daias'tolic
diastrophic,,,daias'trofic
diastrophism,,,daiestrofism
diastyle,,,daiestyl
diatessaron,,,daietessarren
diathermancy,,,daiethermensi
diathermia,,,daiethermia
diathermic,,,daia'thurmic
diathermy,,,daiethermi
diathesis,,,daietheciss
diathetic,,,daia'thetic
diatom,,,daietem
diatomaceous,,,daieto'maishuss
diatomic,,,daia'tomic
diatomicity,,,daiato'miciti
diatomite,,,daietomyt
diatoms,,,daietoms
diatonic,,,daia'tonic
diatonicism,,,daia'tonicism
diatreme,,,daietreem
diatribe,,,daietryb
diatribes,,,daietrybs
diatropic,,,daiat'ropic
diatropism,,,daietroapism
diazine,,,daieseen
diazo,,,daieso
diazole,,,daiesoal
diazomethane,,,daiasoa'methain
diazonium,,,daia'soaniam
diazotization,,,daiaseti'saition
diazotize,,,daiesotys
dib,,,dib
dibasic,,,di'baicic
dibasicity,,,dibai'ciciti
dibber,,,diber
dibble,,,dibl
dibbled,,,dibeld
dibbuk,,,dibuk
dibranchiate,,,di'brankiait
dibromide,,,dibremyd
dibs,,,dibs
dibucaine,,,dibiucain
DiCaprio,,,di'caprio
dicast,,,dicast
dicastery,,,dicasteri
dice,,,dyss
diced,,,dyst
dicentra,,,dycentra
dicephalous,,,dy'cefeluss
dicey,,,dyci
dichasium,,,di'chaiciam
dichlamydeous,,,dichla'mydiass
dichloride,,,dicloaryd
dichlorodiphenyltrichloroethane,,,dicloaroadifeenyltricloaroethain
dichogamic,,,dicho'gamic
dichogamous,,,di'chogamuss
dichogamy,,,dichegami
dichondra,,,dicondra
dichotomic,,,dyco'tomic
dichotomise,,dichotomize
dichotomist,,,dy'cotemist
dichotomize,,,dy'cotemys
dichotomous,,,dy'cotemuss
dichotomously,,,dy'cotemusli
dichotomy,,,dy'cotemi
dichroic,,,dycroic
dichroism,,,dycroism
dichroite,,,dycroit
dichroitic,,,dy'croitic
dichromat,,,dycroamat
dichromate,,,dycroamait
dichromatic,,,dycroa'matic
dichromaticism,,,dycroa'maticism
dichromatism,,,dycroametism
dichromic,,,dy'croamic
dichrooscopic,,,dycroo'scopic
dichroscope,,,dycrescoap
dicier,,,dycier
dicing,,,dycing
dick,,,dik
dickcissel,,,dixissl
dickens,,,dikens
Dickensian,,,Di'kensian
dicker,,,diker
dickered,,,dikerd
dickering,,,dikering
Dickerson,,,Dikersen
dickey,,,diki
Dickinson,,,Dikinsen
dicks,,,dix
Dickson,,,Dixen
diclinous,,,diclinuss
dicot,,,dicot
dicots,,,dicots
dicotyl,,,diketyl
dicotyledon,,,dycote'leeden
dicotyledonous,,,dycote'leedenuss
dicoumarin,,,dicoumerin
dicoumarol,,,dicoumerol
dicrotic,,,di'crotic
dicrotism,,,dicretism
dicta,,,dicta
dictaphone,,,dictafoan
dictate,n,,dictait
dictate,v,,dic'tait
dictated,,,dic'taited
dictates,,,dic'taits
dictating,,,dictaiting
dictation,,,dic'taition
dictator,,,dictaiter
dictatorial,,,dicta'toarial
dictatorially,,,dicta'toariali
dictatorialness,,,dicta'toarialness
dictators,,,dic'taiters
dictatorship,,,dic'taitership
dictatorships,,,dic'taiterships
dictatress,,,dic'tatress
diction,,,diction
dictionaries,,,dicshenerees
dictionary,,,dicsheneri
Dictograph,,,Dictegraf
dictum,,,dictum
dicty,,,dicti
dicumarol,,,dikiumerol
did,,,did
Didache,,,Didaik
didactic,,,di'dactic
didapper,,,didaper
diddle,,,didl
diddley,,,didli
diddums,,,didums
diddy,,,didi
Diderot,,,Dydrot
didgeridoo,,,dijridu
didicoi,,,didicoi
didn't,,,didnt
dido,,,dydo
didrachm,,,didrachem
didrachma,,,didrachma
Didrikson,,,Didrixen
didst,,,didst
didy,,,dydi
didymium,,,di'dimiam
didymous,,,didimuss
didynamous,,,didynamuss
die,,,dy
dieback,,,dybak
died,,,dyd
diedre,,,deedrer
Diefenbaker,,,Deefenbaiker
Diego,,,Di'aigo
diel,,,deel
dieldrin,,,deeldrin
dielectric,,,daie'lectric
Diem,,,Deem
diencephalic,,,daiense'falic
diencephalon,,,diansifalen
diene,,,daieen
dienes,,,deenes
Dieppe,,,Deep
dieresis,,,dee'reeciss
dieretic,,,dee'retic
dies,,,dys
diesel,,,deesl
dieselise,,dieselize
dieselize,,,deeselys
diesels,,,deesels
dieses,,,dysis
diesinker,,,deecinker
diesis,,,deecees
diestock,,,deestok
diet,,,daiet
dietary,,,daieteri
dieter,,,deeter
dieters,,,daieters
dietetic,,,daie'tetic
dietetics,,,daie'tetix
diethylstilbestrol,,,daiethilstilbistrol
diethylstilboestrol,,diethylstilbestrol
dieting,,,daieting
dietitian,,,daie'tition
dietitians,,,daietishens
Dietrich,,,Daietrich
diets,,,daiets
dif,,,dif
diff,,,dif
differ,,,difer
differed,,,diferd
difference,,,diferenss
differences,,,difrenses
different,,,diferent
differentia,,,dife'rensha
differentiable,,,diferenshiabl
differential,,,dife'renshel
differentially,,,dife'rensheli
differentials,,,dife'renshels
differentiate,,,dife'renshiait
differentiated,,,dife'renshiaited
differentiates,,,dife'renshiaits
differentiating,,,dife'renshiaiting
differentiation,,,diferenshi'aition
differentiator,,,diferenshiaiter
differently,,,difrentli
differing,,,difering
differs,,,difers
difficile,,,dificyl
difficult,,,dificult
difficulties,,,dificultis
difficultly,,,dificultli
difficulty,,,dificulti
diffidence,,,difidenss
diffident,,,difident
diffidently,,,difidentli
diffluent,,,difluant
diffract,,,di'fract
diffraction,,,di'fraction
diffractive,,,di'fractiv
diffractively,,,di'fractivli
diffractiveness,,,di'fractivness
diffractometer,,,difrac'tomiter
diffuse,aj,,di'fius
diffuse,v,,di'fius
diffused,,,di'fiuzd
diffusely,,,di'fiusli
diffuser,,,di'fiuser
diffuses,,,di'fiuses
diffusible,,,di'fiusebl
diffusing,,,di'fiusing
diffusion,,,di'fiusion
diffusive,,,di'fiuciv
diffusively,,,di'fiucivli
diffusiveness,,,di'fiucivness
diffusivity,,,difiu'civiti
dig,,,dig
digamma,,,digama
digamy,,,digami
digastric,,,di'gastric
digenesis,,,dy'jeniciss
digenetic,,,dyj'netic
digest,n,,dyjest
digest,v,,di'jest
digestant,,,di'jestent
digested,,,dyjestid
digester,,,dyjester
digestible,,,dy'jestebl
digestif,,,dy'jestif
digesting,,,dy'jesting
digestion,,,dy'jeschen
digestive,,,dy'jestiv
digestively,,,di'jestivli
digestor,,,di'jester
digests,,,dyjests
digged,,,digd
digger,,,diger
diggers,,,digers
digging,,,diging
diggings,,,digings
dight,,,dyt
digit,,,dijit
digital,,,dijitl
digitalin,,,dijitalin
digitalis,,,digi'taliss
digitalisation,,digitalization
digitalise,,digitalize
digitalism,,,dijitelism
digitalization,,,dijiteli'saition
digitalize,,,dijitelys
digitally,,,dijiteli
digitate,,,dijitait
digitately,,,dijitaitli
digitation,,,diji'taition
digitiform,,,dijitiform
digitigrade,,,dijitigraid
digitise,,digitize
digitised,,digitized
digitising,,digitizing
digitize,,,dijitys
digitized,,,dijityzd
digitizing,,,dijitysing
digitoxin,,,dijitoxin
digits,,,dijits
diglot,,,diglot
diglyceride,,,digliceryd
diglyph,,,diglif
dignified,,,dignifyd
dignifiedly,,,dignifidli
dignify,,,dignify
dignitaries,,,digniterees
dignitary,,,digniteri
dignity,,,digniti
digraph,,,digraf
digress,,,dy'gress
digressed,,,dy'grest
digresses,,,dy'greces
digressing,,,dy'grecing
digression,,,dy'gretion
digressions,,,dy'greshens
digressive,,,di'greciv
digs,,,digs
dihedral,,,dy'heedrel
dihedron,,,dy'heedren
dihybrid,,,dy'hybrid
dihydric,,,dy'hydric
dihydrostreptomycin,,,dyhydroastrepto'mycin
Dijon,,,Dijon
dike,,,dyk
dikes,,,dyx
dilacerate,,,dilacerait
dilaceration,,,dilace'raition
Dilantin,,,Dilantin
dilapidate,,,di'lapidait
dilapidated,,,di'lapidaited
dilapidation,,,dilapi'daition
dilatant,,,dy'latent
dilatate,,,dy'latait
dilatation,,,dila'taition
dilate,,,dy'lait
dilated,,,dy'laited
dilater,,,dy'laiter
dilation,,,dy'laition
dilative,,,dy'lativ
dilatometer,,,dila'tomiter
dilatometric,,,dileto'metric
dilator,,,dy'laiter
dilatory,,,diletori
Dilaudid,,,Diludid
Dilbert,,,Dilbert
dildo,,,dildo
dilemma,,,di'lema
dilemmas,,,di'lemes
dilemmatic,,,dile'matic
dilettante,,,dili'tanti
dilettanteism,,,dyltantaism
dilettantism,,,dili'tantism
diligence,,,dilijenss
diligent,,,dilijent
diligently,,,dilijentli
dill,,,dil
Dillard,,,Dilerd
dilling,,,diling
Dillinger,,,Dilinger
Dillon,,,Dilen
dills,,,dils
dilly,,,dili
dillybag,,,dilibag
dillydally,,,dilideli
diluent,,,diluant
dilute,,,di'luut
diluted,,,dy'luuted
dilutee,,,dyliu'tee
diluteness,,,di'luutness
dilutes,,,dy'luuts
diluting,,,dy'luuting
dilution,,,di'luution
dilutive,,,di'luutiv
diluvial,,,di'luuvial
diluvian,,,di'luuvian
diluvium,,,di'luuviam
dim,,,dim
DiMaggio,,,di'majio
dime,,,dym
dimenhydrinate,,,dym'nhydrinait
dimension,,,di'mention
dimensional,,,di'menshenel
dimensionality,,,dimensho'naliti
dimensioned,,,di'menshend
dimensions,,,di'menshens
dimer,,,dymer
dimercaprol,,,dymercaiprol
dimerise,,dimerize
dimerize,,,dymerys
dimerous,,,dimeruss
dimes,,,dyms
dimeter,,,dimiter
dimethyl,,,dymthyl
dimetric,,,dy'metric
dimidiate,,,di'midiait
diminish,,,di'minish
diminished,,,di'minisht
diminishes,,,di'minishes
diminishing,,,di'minishing
diminishment,,,di'minishment
diminuendo,,,diminiu'endo
diminution,,,dimi'nuetion
diminutive,,,di'miniutiv
diminutively,,,di'miniutivli
diminutiveness,,,di'miniutivness
dimissory,,,dimissoari
Dimitrovo,,,Dimi'troavo
dimity,,,dimiti
dimly,,,dimli
dimmed,,,dimd
dimmer,,,dimer
dimmers,,,dimers
dimming,,,diming
dimorph,,,dimoarf
dimorphic,,,di'moarfic
dimorphism,,,dimoarfism
dimorphous,,,dimoarfuss
dimple,,,dimpl
dimpled,,,dimpeld
dimples,,,dimpels
dims,,,dims
dimwit,,,dimwit
din,,,din
Dina,,,Deena
Dinah,,,Dyna
dinanderie,,,dinanderi
dinar,,,dinar
dinars,,,dinars
dindle,,,dindl
dine,,,dyn
dined,,,dynd
diner,,,dyner
dineric,,,dy'nerric
diners,,,dyners
dines,,,dyns
Dinesen,,,Dynsen
dinette,,,dy'net
ding,,,ding
dingbat,,,dingbat
dinge,,,dinj
dinger,,,dinger
dinges,,,dinjes
dingey,,,dinggi
dinghy,,,dinggi
dingle,,,dinggl
dingo,,,dinggo
dings,,,dings
dingus,,,dingguss
dingy,,,dinji
dining,,,dyning
dinitrobenzene,,,dinytroabenzeen
dink,,,dink
Dinka,,,Dinca
dinkey,,,dinki
dinkly,,,dincli
dinkum,,,dincum
dinky,,,dinki
dinmont,,,dinmont
dinner,,,diner
dinners,,,diners
dinnertime,,,dinertym
dinnerware,,,dinerwair
dinning,,,dining
dino,,,deeno
dinoflagellate,,,dino'flajelait
dinosaur,,,dynessor
dinosaurian,,,dinos'sorian
dinosaurs,,,dynessors
dinothere,,,dinudher
dint,,,dint
diocesan,,,di'oassen
diocese,,,dioa'cees
dioceses,,,daiecees
Diocletian,,,Dia'cletion
diode,,,daioad
diodes,,,daioads
dioecious,,,di'oashuss
dioeciously,,,di'oashusli
dioeciousness,,,di'oashusness
Diogenes,,,Di'oajeens
Diogenic,,,Dioa'jenic
dioicous,,,di'oicuss
Diomedes,,,Di'oamds
Dion,,,Di'on
Dione,,,Dai'oani
Dionne,,,Di'on
Dionysia,,,Daio'nisia
Dionysiac,,,Daio'niciak
dionysian,,,daio'nisian
Dionysius,,,Daio'niciass
Dionysus,,,Daio'nyssuss
Diophantus,,,Di'ofantuss
diopside,,,di'opsyd
dioptase,,,di'optaiss
diopter,,,di'opter
dioptometer,,,diap'tomiter
dioptre,,diopter
dioptric,,,di'optric
dioptrics,,,di'optrix
Dior,,,Di'oar
diorama,,,die'rama
diorite,,,daieryt
dioritic,,,die'ritic
diorthosis,,,dior'thoaciss
diorthotic,,,dior'thotic
Dioscuri,,,Di'oskiuri
diosgenin,,,di'osjenin
dioxan,,,dai'oxen
dioxane,,,dai'oxain
dioxide,,,dai'oxyd
dioxides,,,dai'oxyds
dioxin,,,dai'oxin
dioxins,,,dai'oxins
dip,,,dip
dipeptide,,,di'peptyd
dipetalous,,,dypteluss
diphase,,,difais
diphasic,,,di'fasic
diphenhydramine,,,difen'hydrameen
diphenyl,,,difeenyl
diphenylamine,,,difee'nylameen
diphenylhydantoin,,,difeenylhidantoin
diphosgene,,,difesjeen
diphosphate,,,difesfait
diphtheria,,,dif'theeria
diphtheric,,,dif'therric
diphtheritic,,,difthe'ritic
diphtheroid,,,diftheroid
diphthong,,,difthong
diphthongal,,,difthonggl
diphthongise,,diphthongize
diphthongize,,,difthongys
diphyllous,,,difiluss
diphyodont,,,difiodont
diple,,diploe
diplegia,,,di'pleeja
diplex,,,diplex
diploae,,diploe
diploblastic,,,diplo'blastic
diplocardiac,,,diplo'cardiak
diplococcic,,,diplo'coxic
diplococcus,,,diplecocuss
diplodocus,,,dipledocuss
diploe,,,diplo
diploid,,,diploid
diploidy,,,diploidi
diploma,,,di'ploama
diplomacy,,,di'ploameci
diplomas,,,di'ploames
diplomat,,,diplemat
diplomate,,,diplemait
diplomatic,,,diplo'matic
diplomatically,,,diplo'maticli
diplomatics,,,diplo'matix
diplomatise,,diplomatize
diplomatist,,,diplematist
diplomatize,,,diplematys
diplomats,,,diplemats
diplont,,,diplont
diplopia,,,di'ploapia
diplopic,,,di'plopic
diplopod,,,diplepod
diplosis,,,di'ploaciss
diplostemonous,,,diplestemenuss
diplotene,,,diploateen
dipnoan,,,dipnoan
dipodic,,,di'podic
dipody,,,dipedi
dipolar,,,dipoaler
dipole,,,dypoal
dipped,,,dipt
dipper,,,diper
dippers,,,dipers
dipping,,,diping
dippy,,,dipi
diprotic,,,di'protic
dips,,,dips
dipso,,,dipso
dipsomania,,,dipso'mainia
dipsomaniac,,,dipso'mainiak
dipsomaniacal,,,dipsemanaiecl
dipstick,,,dipstic
dipt,,,dipt
diptera,,,diptera
dipteral,,,dipterel
dipteran,,,dipteren
dipterocarpaceous,,,dipterocaa'paishuss
dipteron,,,dipteron
dipteros,,,dipteross
dipterous,,,dipteruss
diptych,,,diptich
Dirac,,,Durak
dirdum,,,dirdum
dire,,,dyr
direct,,,di'rect
directed,,,de'rected
directing,,,dy'recting
direction,,,dy'rection
directional,,,dy'recshenel
directionless,,,dy'recshenless
directions,,,dy'recshens
directive,,,di'rectiv
directives,,,dy'rectivs
directly,,,di'rectli
directness,,,dy'rectness
Directoire,,,De'rectwar
director,,,di'recter
directorate,,,dy'recteret
directorial,,,dyrec'toarial
directorially,,,direc'toariali
directories,,,dy'recterees
directors,,,de'recters
directorship,,,de'rectership
directorships,,,de'recterships
directory,,,di'recteri
directress,,,dy'rectress
directrices,,,de'rectrices
directrix,,,di'rectrix
directs,,,dy'rects
direful,,,daierfl
direfully,,,daierfuli
direfulness,,,daierfulness
direly,,,daierli
direst,,,dyrerst
dirge,,,durj
dirgeful,,,durjfl
dirham,,,dir'ham
dirhams,,,durams
dirhem,,,durhem
Dirichlet,,,Dirichlet
dirigible,,,dirijebl
dirigisme,,,dirijismi
diriment,,,diriment
dirk,,,durk
dirks,,,durx
dirl,,,dirl
dirndl,,,durndl
dirt,,,durt
dirtier,,,durtier
dirtiest,,,durtiast
dirty,,,durti
dis,,,diss
disabilities,,,dissa'bilitees
disability,,,dissa'biliti
disable,,,dis'saibl
disabled,,,dis'saibeld
disables,,,dis'saibels
disabling,,,dis'saibling
disabuse,,,dissa'bius
disabused,,,dissa'biusd
disabuses,,,dissa'biuces
disaccharide,,,dissa'charyd
disaccord,,,dissa'coard
disaccredit,,,dissa'credit
disaccustom,,,dissa'custem
disadvantage,,,dissad'vantij
disadvantaged,,,dissad'vantijd
disadvantageous,,,dissadvan'taijuss
disadvantages,,,dissad'vantijes
disaffect,,,dissa'fect
disaffected,,,dissa'fected
disaffection,,,dissa'fection
disaffiliate,,,dissa'filiait
disaffirm,,,dissa'furm
disaffirmation,,,dissafer'maition
disafforest,,,dissa'forrist
disagree,,,dissa'gree
disagreeable,,,dissa'griabl
disagreeableness,,,dissa'griabelness
disagreed,,,dissa'greed
disagreeing,,,dissa'greeing
disagreement,,,dissa'greement
disagreements,,,dissa'greements
disagrees,,,dissa'grees
disallow,,,dissa'low
disallowance,,,dissa'lowenss
disallowances,,,dissa'lowenses
