Word,POS,Prefer
decor,,P
decortication,,dIkO:rt@k'eIS@n
decoupage,,P
decoy,,dIk'OI
decrease,v,P
decrepit,,B
decrial,,P
decuple,,P
dedans,,P
dedicative,,d'EdI#keItIv
defamatory,,A
defect,v,P
definientia,,B
definite,,d'EfI#nIt
deformity,,P
DeGeneres,,D
dehisce,,P
dehumanization,,dIhju:m@n@z'eIS@n
deism,,P
Dejesus,,P
dekaliter,,P
Delacroix,,D
delative,,P
Delaunay,,D
Delawarean,,P
Delaware,,P
deliberate,,P
Delibes,,D
delineate,,P
delineative,,P
Deloris,,D
demarche,,deIm'arS
dement,,B
demerse,,B
Demeter,,P
demilitarization,,dImIlI#t@`@z'eIS@n
demimonde,,P
demisemiquaver,,dEmIz'EmIkweIv@`
demit,,P
demivolt,,P
democratize,,P
demographer,,P
demography,,P
demoniacal,,P
demonolater,,P
dengue,,B
denotive,,P
denunciative,,P
Deon,,D
depilatory,,A
depletory,,P
deploration,,P
deportee,,dIport'i:
depository,,dIp'QzI#tori:
deprecate,,B
depredation,,dEprId'eIS@n
deray,,P
dereism,,P
derision,,B
derisive,,dIr'IsIv
derogative,,P
derogatory,,dIr'Qg@tori:
Descartes,,D
desert,,d'Ez@`t
desert,v,B
designee,,P
desolate,,P
Dessalines,,D
dessiatine,,P
d'Estaing,,D
desultory,,d'Es@ltori:
detail,,dIt'eIl
detainee,,dIteIn'i:
deteriorate,,dIt'i@i:@`eIt
detoxicant,,dIt'QksI#k@nt
detoxicate,,dIt'QksI#keIt
detoxication,,dItQksI#k'eIS@n
detoxify,,dIt'QksI#faI
detrition,,P
deuce,,d'U:s
deuteragonist,,dU:t@`'ag@nIst
deuteranomaly,,dU:t@`@n'Qm@li:
deuteranope,,d'U:t@`@#noUp
deuteranopia,,dU:t@`@n'oUpi:@
deuteranopic,,dU:t@`@n'QpIk
deuterate,,d'U:t@`eIt
deuterium,,dU:t'i:ri:@m
deuterogamy,,dU:t@`'Qg@mi:
deuteron,,d'U:t@`Qn
Deuteronomic,,dU:t@`@n'QmIk
Deuteronomist,,dU:t@`'Qn@mIst
Deuteronomy,,dU:t@`'Qn@mi:
deuton,,d'U:tQn
deutoplasm,,d'U:t@plaz@m
deutschemark,,d'OItSmArk
deutzia,,d'U:tsi:@
dewan,,P
dewar,,P
Dewayne,,d@w'eIn
Dhaka,,d'ak@
diablo,,B
diacetyl,,P
diaconal,,P
diageotropism,,daI@dZi:'Qtr@pIz@m
dialectal,,P
dialecticism,,daI@:l'EktIsIz@m
dialysis,,P
diaphanous,,B
diarchal,,d'aIArk@l
diarchic,,d'aIArkIk
diastasic,,P
diazotize,,P
DiCaprio,,D
dichroic,,P
dictate,,d'IkteIt
di,,D
didymous,,B
dieses,,d'aI@si:z
diesis,,d'aI@sIs
digenetic,,P
digestion,,dIdZ'EstS@n
digestive,,dIdZ'EstIv
digress,,dIgr'Es
digression,,dIgr'ES@n
dilative,,P
dilatory,,d'Il@tori:
dilettante,,d'IlItAnt
dilute,,B
dilutee,,D
DiMaggio,,D
dimenhydrinate,,P
d'Indy,,D
diocesan,,P
diocese,,P
Diogenes,,daI'QdZ@ni:z
diorama,,P
dioritic,,P
diphase,,P
diphasic,,P
diphenyl,,P
directional,,dIr'EkS@n@l
direction,,dIr'EkS@n
directorial,,dIr@kt'orI@l
directress,,dIr'Ektr@s
directrices,,P
disaccharide,,P
disciplinary,,A
discombobulate,,dIsk@mb'Qbj@leIt
discord,,P
discourse,v,P
disenthral,,B
diseur,,P
diseuse,,di:z'Ez
dishabille,,P
disjune,,P
disproportionation,,dIspr@#porS@n'eIS@n
dissect,,dIs'Ekt
dissection,,dIs'EkS@n
dissing,,O
dissipative,,d'IsI#peItIv
dissoluble,,dIs'Qlj@b@l
dissyllabic,,daIsIl'abIk
dissyllable,,daIs'Il@b@l
distichous,,d'IstIk@s
distributee,,dIstrIbju:t'i:
distribute,,P
diurnal,,P
diversification,,dIv3:sI#fIk'eIS@n
diversiform,,P
diversify,,dIv'3:sI#faI
DMZ,,D
DNAse,,D
Docetism,,doUs'i:tIz@m
doctrinal,,d'QktrIn@l
docudrama,,d'Qkj@drAm@
dodecagon,,doUd'Ek@gQn
dolichocephalic,,P
dolomite,,P
dolomitization,,P
dolomitize,,P
domical,,P
dominative,,d'QmI#neItIv
dormer,,P
dorsal,,P
Dorsey,,D
dotard,,P
Doukhobor,,P
drawee,,drO:'i:
dreyfuss,,D
Drin,,P
Dubuffet,,D
ductile,,d'VktI#l
duer,,D
Duhamel,,D
Dukhobor,,P
Dukhobortsy,,du:k@:b'O:rtsi:
Dulles,,D
duodiode,,D
duomo,,dw'oUmoU
DuPont,,D
duramen,,P
Duran,,D
dur,,D
Durga,,P
Durkheim,,D
Duse,,D
duvetyn,,P
DVD,,D
dwalm,,D
dyspnoic,,P
ea,,D
ebullience,,Ib'Vlj@ns
ecarte,,P
ecdysis,,B
ecesis,,P
echeveria,,EtS@v@`'i:@
echoic,,P
Eckhart,,'EkArt
ecologist,,Ik'Ql@dZIst
ecology,,P
economical,,Ik@n'QmIk@l
economic,,Ik@n'QmIk
ectasis,,P
ectogenetic,,P
ectozoic,,P
ecumenical,,EkjUm'EnIk@l
ecumenicism,,P
ecumenicist,,EkjUm'EnIsIst
ecumenicity,,EkjUm@n'IsIti:
ecumenics,,EkjUm'EnIks
ecumenism,,P
ecu,,P
edacious,,P
edacity,,P
edaphic,,P
Edirne,,P
educatee,,P
educate,,P
educational,,P
education,,P
educative,,P
educe,,Id'U:s
eduction,,P
eductive,,P
ee,,D
EEO,,D
effervesce,,P
effusive,,B
egotistical,,P
egotistic,,P
egotist,,P
egression,,P
eighteen,,'eIti:n
eighteenmo,,'eIti:nmoU
ejaculatory,,IdZ'akj@l@tori:
elaborative,,P
elan,,eIl'an
elasmobranch,,P
elasmosaurus,,D
elasticity,,B
electrolier,,P
electrolyte,,P
electrolytic,,P
electrolyze,,P
electromyogram,,P
electromyographic,,P
electronically,,P
electronic,,P
elysian,,P
Elysium,,Il'IZi:@m
emanant,,P
emanate,,P
emanative,,P
emanatory,,P
embolism,,'Emb@lIz@m
embosom,,P
embrocation,,P
emiction,,P
emigratory,,'EmIgr@tori:
emigre,,P
Emilia,,P
Emilio,,P
emir,,@m'i:r
emunctory,,P
enamor,,A
enantiotropy,,B
encina,,P
endocrine,,'EndoUkrIn
endodermal,,End@d'3:m@l
endodermis,,P
endogen,,B
endogeny,,P
endomorphism,,P
endorsee,,P
Enid,,P
enneahedron,,Eni:@h'i:dr@n
Enoch,,P
enolic,,P
enology,,P
enormity,,In'O:rmIti:
enormous,,P
Enrico,,P
ensemble,,A
enthronization,,P
entomophagous,,P
entourage,,P
entr'acte,,P
entree,,A
enucleate,v,In'U:klIeIt
enumerative,,In'U:m@`eItIv
eosinophil,,P
Eozoic,,P
epeirogenetic,,P
Ephesus,,B
epidural,,EpId'U:r@l
epiphany,,B
epiphenomenalism,,EpI#f@n'Qm@n@lIz@m
epiphenomenon,,EpI#f@n'Qm@nQn
epiphonema,,EpI#foUn'i:m@
epiphora,,P
epiphyseal,,P
epiphysis,,P
epiphytotic,,EpI#faIt'QtIk
epiploic,,EpIpl'oUIk
epiploon,,EpIpl'oU@n
episcopal,,P
epithelial,,EpIT'i:lI@l
epithelioid,,P
epithelioma,,EpI#Ti:li:'oUm@
epitheliomatous,,EpI#Ti:li:'Qm@t@s
epithelization,,EpI#Ti:lIz'eIS@n
epithet,,'EpI#TEt
epitomist,,P
epizoic,,P
epochal,,'EpQk@l
epsilon,,EpsI#lQn
equalitarian,,IkwQlIt'e@i:@n
equality,,Ikw'QlIti:
equestrian,,P
era,,B
Erbil,,'i:rbIl
erose,,P
erosible,,P
errata,,B
erysipelas,,P
erysipelatous,,P
erythema,,P
erythematous,,P
erythrism,,P
erythristic,,P
erythrite,,P
erythritol,,Ir'ITrItO:l
erythroblastosis,,P
erythroblast,,P
erythrocyte,,P
erythrocytic,,IrITr@:s'ItIk
erythrocytometer,,P
erythromycin,,IrITr@m'aIsIn
erythrophobia,,P
erythropoiesis,,P
erythropoietic,,P
erythropoietin,,IrITroUp'OItIn
Erzurum,,Erz@`Um
Esau,,P
Esbjerg,,P
escadrille,,P
escalade,,P
escapee,,P
eschatological,,Esk@#t@l'QdZIk@l
es,,D
Eskisehir,,P
espousal,,Isp'aUz@l
espouse,,Isp'aUz
essay,v,P
essential,,@s'EnS@l
esse,,P
establishmentarian,,B
estaminet,,P
estate,,B
est,,D
Este,,P
Esterhazy,,D
Estes,,P
estimate,n,'EstI#mIt
eternality,,P
Ethiop,,'i:Ti:Qp
ethological,,B
ethology,,B
ethylene,,P
ethylenic,,P
Etzel,,P
Euboic,,P
euchologion,,ju:k@l'oUdZi:Qn
eudemon,,P
Eugenie,,D
Eugenio,,D
eunuch,,P
euphoriant,,P
euphory,,j'u:fori:
eutectoid,,P
evacuative,,P
evanesce,,P
evangelistic,,Iv'andZ@lIstIk
evaporative,,P
evaporator,,Iv'ap@`eIt@`
evasive,,B
evincive,,P
eviscerate,,A
exacerbate,,P
exacerbation,,P
exaction,,P
exactitude,,Igz'aktItU:d
exact,,P
exaggerate,,P
exaggeration,,P
exaggerative,,P
exaggeratory,,P
exaltation,,EgzO:lt'eIS@n
exalt,,Igz'O:lt
examen,,P
examination,,P
examinatorial,,IgzamI#na#t'O:rI@l
examine,,P
exam,,P
example,,P
exasperate,,P
exasperation,,Igzasp@`'eIS@n
excaudate,,P
exceed,,P
excel,,P
excentric,,P
exceptional,,P
exception,,P
exceptive,,P
except,,P
excerpta,,P
excessive,,P
excess,,P
exchange,,P
excide,,P
excimer,,'EksI#m@`
excipient,,P
excise,,'EksaIz
excitability,,P
excitation,,P
excite,,P
exciton,,Iks'aItQn
exclaim,,P
exclamatory,,P
exclosure,,P
exclude,,P
exclusion,,P
exclusive,,P
exclusory,,P
excommunicative,,Eksk@mj'u:nIkeItIv
excommunicatory,,Eksk@mj'u:nI#k@tori:
excoriate,,Iksk'ori:eIt
excoriation,,Iksk'ori:eIS@n
excremental,,P
excrescence,,P
excrescential,,Ekskr@s'EnS@l
excrescent,,P
excreta,,P
excrete,,P
excretion,,P
excretory,,'EkskrItori:
excruciate,,P
excruciation,,P
exculpable,,P
exculpate,,'EkskVlpeIt
exculpatory,,A
excurrent,,Iksk'Vr@nt
excursive,,P
excuse,,P
execrable,,'EksIkr@b@l
executive,,P
executorial,,P
executor,,P
executrices,,P
executrix,,P
exempla,,P
exemplar,,Igz'Empl@`
exemplum,,P
exemption,,P
exempt,,P
exercitation,,P
exergonic,,Eks@`g'QnIk
exergual,,P
exergue,,P
exertion,,P
exert,,P
exfoliative,,P
exhaustion,,P
exhaustive,,P
exhaust,,P
exhibitive,,P
exhibitory,,P
exhibit,,P
exhilarant,,P
exhilarate,,P
exhilaration,,P
exhilarative,,P
exhilaratory,,P
exhort,,P
exiguous,,P
existence,,P
exist,,P
exobiology,,B
exon,,'EksQn
exonerate,,P
exophthalmia,,EksQfT'almi:@
exophthalmos,,EksQfT'alm@s
exopodite,,Eks'Qp@daIt
exopoditic,,EksQp@d'ItIk
exorbitance,,P
exorbitant,,P
exosporal,,P
exotica,,Igz'QtIk@
exoticism,,Igz'QtIsIz@m
exotic,,P
expand,,P
expanse,,P
expansible,,P
expansile,,P
expansion,,P
expansive,,P
expatriate,n,Eksp'atri:It
expectancy,,P
expectant,,P
expectation,,IkspEkt'eIS@n
expectorant,,P
expectorate,,P
expectoration,,P
expect,,P
expedience,,P
expediential,,P
expedient,,P
expellee,,IkspEl'i:
expel,,P
expenditure,,P
expend,,P
expense,,P
expensive,,P
experience,,P
experiential,,Ikspi@I'EnS@l
experimental,,P
experimentation,,IkspErI#mEnt'eIS@n
experimentative,,IkspErI#m'Ent@tIv
experiment,,Iksp'ErI#m@nt
expert,,B
expire,,P
explain,,P
explanatory,,Ikspl'an@tori:
explicative,,'EksplIkeItIv
explicatory,,'EksplIk@tori:
explicit,,P
explode,,P
exploit,,Ikspl'OIt
exploitive,,P
explore,,Ikspl'or
explosion,,P
explosive,,P
exponent,,Iksp'oUn@nt
exponible,,P
exposal,,P
expose,,P
expositive,,Iksp'QzItIv
expositor,,Iksp'QzIt@`
expository,,Iksp'QzItori:
expostulate,,Iksp'QstS@leIt
expostulation,,IkspQstS@l'eIS@n
expostulative,,Iksp'QtS@leItIv
expostulatory,,Iksp'QtS@l@tori:
exposure,,P
expound,,P
expressage,,P
expressionistic,,P
expression,,P
expressive,,P
express,,P
expulsion,,P
expulsive,,P
expunction,,P
expunge,,P
expurgatory,,Eksp'3:g@tori:
exquisite,,Ikskw'IzIt
extemporal,,P
extemporaneous,,P
extemporarily,,IkstEmp@`'Er@li:
extemporary,,P
extempore,,P
extemporize,,P
extend,,P
extensible,,P
extensile,,Ikst'EnsI#l
extension,,P
extensity,,P
extensive,,P
extensometer,,EkstEns'QmIt@`
extensor,,P
extent,,P
extenuate,,P
extenuation,,P
extenuatory,,P
exterior,,P
extermination,,P
exterminative,,Ikst'3:mI#neItIv
extermine,,P
externalization,,P
external,,P
extinction,,P
extinctive,,P
extinct,,P
extinguish,,P
extol,,P
extorsive,,P
extort,,Ikst'O:rt
extortion,,Ikst'O:rS@n
extraction,,Ikstr'akS@n
extractive,,P
extract,v,P
extravagance,,Ikstr'av@g@ns
extravagant,,Ikstr'av@g@nt
extravaganza,,Ikstrav@g'anz@
extravagate,,P
extravasate,,P
extricable,,'EkstrIk@b@l
extrude,,P
extrusible,,P
extrusion,,P
extrusive,,P
exultancy,,P
exult,,P
exurb,,'Eks3:b
facetiae,,P
fahs,,B
fajita,,fAh'i:t@
Falkland,,f'O:kla#nd
false,,f'O:ls
falsification,,fO:lsI#fIk'eIS@n
falsify,,f'O:lsIfaI
falsity,,f'O:lsIti:
familiarity,,fa#mIli:'arIti:
familiar,,P
farceur,,fArs'3:
farceuse,,fArs'Ez
farcical,,A
farci,,P
farcy,,A
farina,,P
Farnese,,D
Farrakhan,,D
fatigable,,f'atIg@b@l
Faust,,P
Fayal,,P
Feb,,B
febricity,,P
febrific,,P
febrility,,P
February,,A
fe,,D
federate,,P
federative,,P
feist,,P
Felice,,P
felicitate,,fIl'IsIteIt
felicitation,,P
felicitous,,P
felicity,,P
felinity,,P
fellate,,f@l'eIt
feodary,,P
feria,,B
ferment,v,B
ferritin,,P
fertilization,,P
fettuccine,,fEtVtS'i:ni:
fettucine,,fEtVtS'i:ni:
fettucini,,fEtVtS'i:ni:
feuilleton,,P
fibriform,,P
fibril,,f'aIbrI#l
fibrilla,,P
fibrillar,,f'aIbrI#l@`
fibrillate,,f'aIbrI#leIt
fibrillation,,faIbrI#l'eIS@n
fibrilliform,,P
fibrillose,,f'aIbrI#loUs
fibrinogenic,,faIbrI#noUdZ'EnIk
fibrinogenous,,P
fibrinogen,,P
fibrinolysin,,P
fibrinolysis,,P
fibrinolytic,,faIbrI#noUl'ItIk
fibrinous,,f'aIbrI#n@s
fibrin,,P
fibroid,,P
fibroin,,P
fibrolite,,P
fibroma,,P
fibromatous,,P
fibro,,P
fibroplasia,,P
fibrosis,,P
fibrositis,,P
fibrotic,,P
fibrous,,P
Fichte,,P
Fiesole,,P
fifteen,,f'Ifti:n
Figueroa,,D
figural,,P
figurante,,fIgj@`'ant
figurant,,fIgj@`'ant
figurate,,P
figuration,,P
figurative,,P
figure,,A
figurine,,P
filar,,P
financial,,B
fini,,fi:n'i:
Finisterre,,P
Firenze,,D
firn,,f'i:rn
Fitzroy,,B
Fiume,,D
flambe,,P
flexible,,P
flirtation,,B
flirtatious,,B
floreat,,D
flor,,fl'Vr
florist,,fl'orIst
fluoresce,,P
fluoric,,P
foh,,f'O:
foliolate,,P
foment,,foUm'Ent
forbade,,f@`b'ad
forbear,,P
Forbes,,D
forbid,,P
forb,,P
forby,,P
foreign,,B
forestial,,P
formal,,A
formalization,,A
formidable,,f'O:rmId@b@l
fortuitism,,fO:rt'U:ItIz@m
fossula,,f'Qsj@l@
Foucquet,,D
fouette,,P
foveole,,P
fractionate,,P
Francisca,,P
Francoise,,D
franglais,,frANgl'eI
Fraunhofer,,D
Frazier,,D
frequent,v,P
Frescobaldi,,D
Freudian,,B
friable,,P
Friedan,,D
Frimaire,,P
frivol,,P
frontality,,B
frug,,P
Frunze,,P
fugato,,fU:g'AtoU
fulsome,,P
furfur,,P
furnace,,B
Fyn,,f'aIn
gabbroic,,P
gadget,,B
gadid,,P
gadoid,,P
galax,,g'eIlaks
galaxy,,P
galenical,,geIl'EnIk@l
galenic,,P
Galileo,,B
galleryite,,P
Gallice,,D
galvanotropism,,P
gametal,,P
gamogenetic,,P
gamosepalous,,P
Gandhian,,P
Gandhi,,P
gangrene,,B
Gargantua,,P
gasolinic,,P
gastropodous,,P
gateau,,P
gau,,B
gavial,,P
Gawain,,P
gayal,,P
gaydar,,O
geanticlinal,,P
geanticline,,P
ge,,D
Geelong,,dZIl'O:N
gelatin,,dZ'El@tIn
gelatinoid,,dZ@l'atI#nOId
Gelsenkirchen,,P
generale,,D
genesis,,dZ'En@sIs
genethliacally,,P
genethlialogic,,dZ@nETli:@l'QdZIk
genethlialogy,,dZ@nETli:'Ql@dZi:
genetrix,,D
genizah,,P
genre,,A
gentil,,D
geodal,,P
geodetic,,dZi:Qd'EtIk
geognostic,,dZi:Qgn'QstIk
geognosy,,dZi:'QgnQsi:
geoponic,,dZi:Qp'QnIk
georama,,dZi:Qr'am@
geraniaceous,,dZ@`eIni:'eIS@s
gerent,,P
germinative,,dZ'3:mI#neItIv
Germiston,,B
gesellschaft,,g@z'ElSAft
Gesualdo,,D
gesundheit,,P
gi,,D
gigantomachia,,D
giglot,,g'IglIt
Giorgione,,D
girasol,,dZ'Ir@sO:l
Girgenti,,D
Gironde,,dZ@`'Qnd
Giuseppe,,D
glaireous,,P
glandule,,A
glassine,,P
Glazunov,,gl'az@nQf
glengarry,,P
glenoid,,P
gley,,B
Gliwice,,P
globin,,P
globose,,P
gluconeogenetic,,P
glycogenetic,,P
glycogenolysis,,P
gneiss,,P
gnomic,,P
gnomonic,,P
gnomon,,P
Goncourt,,D
gondola,,g'Qnd@l@
gondolier,,gQndEl'i@
goosander,,P
Gorbachev,,g'O:rb@tSQf
Goren,,D
gorgeous,,P
gorge,,P
gorget,,P
Goshen,,g'oUS@n
gourd,,g'ord
graben,,gr'Ab@n
gracilis,,gr'asI#lIs
graduate,,gr'adZu:It
graduate,v,P
Grahame,,D
granary,,P
grandma,,B
grandpa,,B
granulation,,P
granulative,,P
granule,,B
gratuity,,gr@t'U:Iti:
gratulatory,,gr'atS@l@tori:
gravimeter,,grav'ImIt@`
gravure,,P
grease,,B
gregarious,,P
Grenada,,gr@n'eId@
Gretchen,,P
grigri,,P
Griqua,,P
groceteria,,D
grosbeak,,P
grosz,,gr'O:S
gruel,,B
grumman,,D
gula,,g'U:l@
guru,,g'Uru:
gymkhana,,P
gymnospermous,,P
gyronny,,P
Hahnemann,,D
halfpence,,P
halfpenny,,P
halloa,,P
hallucinative,,h@l'u:sI#neItIv
hallucinatory,,A
halophyte,,h'al@faIt
halt,,h'O:lt
halva,,hAlv'A
halvah,,P
Hama,,P
Hamas,,hAm'As
Hanoverian,,P
Hanseatic,,P
Hansen,,D
Hanukkah,,P
ha'penny,,h'eIp@ni:
hartman,,D
hartmann,,D
haver,,A
havildar,,h'avIldAr
Haworth,,D
heathenry,,h'i:D@nri:
Heaviside,,D
hebdomadal,,P
hebdomadary,,P
hebetic,,P
Hebraic,,P
Hebraism,,P
Hebraistic,,P
Hebraist,,P
hebraize,,P
hectoliter,,P
hectostere,,P
heliacal,,P
heliac,,P
Heligoland,,h'ElIgoUland
heliochrome,,P
Heliogabalus,,P
heliogram,,P
heliographic,,P
heliograph,,P
heliolatry,,hi:li:'Ql@tri:
heliolithic,,P
heliometer,,hi:li:'QmIt@`
helio,,P
Heliopolis,,hi:li:'Qp@lIs
helioscope,,P
helioscopic,,hi:lI@sk'QpIk
heliosis,,P
helios,,P
heliostat,,P
heliotaxis,,P
heliotrope,,P
heliotropic,,P
heliotropin,,P
heliotropism,,hi:li:'Qtr@pIz@m
heliotype,,P
heliotypic,,P
heliozoan,,P
heliozoic,,P
helmet,,B
Helmholtz,,D
helminthoid,,P
helot,,P
hemidemisemiquaver,,hEmIdEmIz'EmIkweIv@`
hemimetabolic,,hEmImEt@b'QlIk
hemimetabolous,,hEmIm@t'ab@l@s
hemipterous,,P
hemispheroid,,P
Hennessy,,P
hepatica,,P
hepatic,,hIp'atIk
heptagon,,h'Ept@gQn
Heraclitus,,P
Herakleion,,P
Herakles,,P
heretic,,B
hermann,,D
hero,,P
Herophilus,,P
herpetic,,B
Herr,,A
herse,,B
Hersey,,D
Hertford,,P
Hertfordshire,,P
Herzl,,D
heterodox,,h'Et@`@dQks
heteronymous,,hEt@`'QnI#m@s
heteroousian,,P
hexagram,,P
hexahydrate,,P
hexameter,,P
hexapodous,,P
hexose,,P
hiccough,,h'IkVp
hieroglyph,,h'aI@rQglIf
Hilfiger,,D
hilloa,,P
Hinayana,,P
Hinayanist,,P
Hippomenes,,hIp'Qm@ni:z
hippopotamus,,P
hirsute,,h'3:su:t
hirudinean,,P
hirudinoid,,hIr'u:dI#nOId
histogenetic,,P
histogeny,,B
Hobbes,,B
Hobbesian,,h'Qbzi:@n
Hofmannsthal,,D
Hohenlohe,,D
Hollis,,D
holloa,,hQl'oU
Holmesian,,B
holozoic,,hQl@z'oUIk
Holst,,D
homeomorphism,,P
homeopath,,P
homeostasis,,P
hominian,,D
homogeneous,,P
homogenetic,,P
homogenization,,hQmQdZ@nIz'eIS@n
homogenize,,h@m'QdZ@naIz
homoiothermal,,P
homoiotherm,,P
homoiousian,,hoUmOI'u:si:@n
homoousian,,hoUmoU'u:si:@n
homoplasy,,P
homopolar,,P
homopteran,,P
hoodoo,,P
hoof,,h'Uf
Hoogh,,D
Hooghly,,B
hoos,,D
hordein,,P
hordeolum,,P
hormone,,P
hormonic,,P
horologe,,P
horologic,,B
horologium,,P
horoscope,,B
Horowitz,,h'O:r@wIts
hosey,,P
hosier,,P
hotelier,,P
hough,,h'Qk
Huambo,,w'AmboU
hulloa,,P
humiliative,,P
Huntingdon,,B
hurdies,,P
Hurrian,,P
huss,,D
hybridization,,B
hydantoin,,P
hydracid,,P
hydrazine,,P
hydrogenolysis,,P
hydrothoracic,,haIdrQT@`'asIk
hydrothorax,,P
hydroxy,,haIdr'Qksi:
hydroxyl,,P
hymenopteran,,P
hymenoptera,,P
hymenopteron,,P
hyperbaton,,P
hypermeter,,P
hyperpituitarism,,haIp@`pIt'U:It@`Iz@m
hypnogenetic,,P
hypochondriacal,,haIpQkQndr'aI@k@l
hypochondrium,,haIp@k'Qndri:@m
hypoderm,,h'aIpQd3:m
hypolimnion,,haIp@l'Imni:Qn
hypophysis,,haIp'QfIsIs
hypopituitarism,,haIpoUpIt'U:It@`Iz@m
hypopnea,,haIp'Qpni:@
hypopyon,,haIp'oUpi:Qn
hypothecate,,haIp'QTIkeIt
hypothec,,haIp'QTIk
hypothesis,,B
Icarus,,'IkEr@s
ichorous,,P
ichthyic,,P
ideal,,B
ideate,,P
ideation,,P
ideogram,,P
ideograph,,P
idioglossia,,P
idiograph,,P
idiosyncrasy,,Idi:oUs'INkr@si:
IgE,,D
Ikhnaton,,P
Illinoisan,,P
illuminate,,B
Illyria,,P
imam,,Im'Am
imbecile,,'Imb@sIl
immaculate,,Im'akj@lIt
immaterial,,B
immateriality,,Ima#ti:ri:'alIti:
immature,,A
immitigable,,Im'ItIg@b@l
immolate,,P
immortelle,,P
immunogenicity,,Imj@nQdZ@n'IsIti:
immunologist,,Imj@n'Ql@dZIst
immunology,,Imj@n'Ql@dZi:
impact,v,P
imperscriptible,,Imp@`skr'IptIb@l
impious,,P
implead,,B
importunate,,P
importune,,ImpO:rt'U:n
imposthume,,Imp'QsTU:m
imprecise,,B
impregnate,,A
impropriate,,P
improvisatory,,Impr@v'aIz@tori:
improvvisatore,,D
incandesce,,P
incarcerate,,A
incommunicado,,Ink@#mju:nIk'AdoU
incubation,,Inkj@b'eIS@n
incubatory,,P
indagative,,P
indicatory,,P
individuality,,P
indocility,,IndQs'IlIti:
Indore,,Ind'O:r
indri,,'Indri:
inefficacity,,B
Ines,,D
inexhaustible,,P
inferiority,,P
inferior,,P
infinite,,'InfI#nIt
infirmarian,,P
inflammatory,,A
influential,,B
informational,,A
infusoria,,B
Ingrid,,P
inherent,,B
innocuity,,P
inquilinous,,P
insofar,,InsQf'Ar
insolate,,P
insolation,,P
insouciant,,Ins'u:si:@nt
instanter,,P
insult,v,P
integrate,,B
integument,,P
intercept,n,'Int@`sEpt
interest,,'Int@`@st
interfere,,P
interferon,,Int@`f'i@Qn
interiority,,P
interior,,P
Internationale,,P
interpolable,,P
interpretative,,P
interpret,,B
interpretive,,B
interrogatory,,IntEr'Qg@tori:
interruptible,,A
interviewee,,A
intimate,,P
intimate,v,'IntI#mIt
intine,,P
intonate,,P
intonation,,P
intoxicative,,Int'QksI#keItIv
intransigeance,,D
introspect,,B
intumesce,,P
inveigle,,B
inventory,,A
invertible,,B
investigable,,Inv'EstIg@b@l
investigative,,Inv'EstI#geItIv
investigatory,,Inv'EstIg@tori:
inveterate,,Inv'Et@`It
invocative,,Inv'Qk@tIv
involute,,P
iodinate,,P
ionization,,aI@#naIz'eIS@n
Iquique,,P
irade,,P
IRAs,,D
irisation,,P
Irrawaddy,,Ir@w'Qdi:
irrefutable,,B
irrepressible,,IrIpr'Es#@b@l
irretrievably,,A
irrigative,,'IrI#geItIv
Ishmael,,'ISmi:@l
Islamabad,,B
Islam,,B
Islamic,,B
Islamism,,P
Islamite,,B
Islamization,,Isl@maIz'eIS@n
isocheimenal,,P
isochor,,P
isochroous,,aIs'QkroU@s
isoclinal,,P
isogon,,'aIs@gQn
isolative,,P
isomerism,,aIs'Qm@`Iz@m
isoperimetry,,P
issuance,,A
italia,,D
Italian,,P
iterative,,P
itinerary,,P
Iulus,,P
Iva,,'aIv@
Jami,,D
janissary,,P
Jassy,,P
jawan,,P
Jaycee,,B
jefe,,D
jejune,,P
jejunity,,P
jejunostomy,,P
jerboa,,P
jereed,,P
jeu,,D
jeux,,D
Jewell,,B
jnana,,dZ@n'An@
jocose,,P
jocularity,,dZQkj@l'arIti:
Jodo,,D
johannes,,dZoUh'ani:z
Johnsonese,,dZQns@:n'i:z
Jorge,,D
Jose,,D
joseph,,dZ'oUz@f
June,,P
Juneteenth,,P
Jungfrau,,P
Jungian,,j'UNi:@n
Jung,,P
juniority,,P
Junius,,dZ'u:nj@s
juratory,,P
jure,,D
justiciar,,P
kakemono,,kAkEm'oUnoU
Kalisz,,P
Kalmarian,,B
Kalmar,,P
Kanak,,kan'ak
Kansan,,P
Karachi,,P
Karafuto,,kArAfu:toU
kara,,k'Vr@
karaoke,,B
karmadharaya,,kArm@d'Ari:A
karyotype,,P
karyotypic,,B
Kashmirian,,P
kashmiri,,P
Kathiawar,,kAti:@w'Ar
Katowice,,P
katydid,,P
Kawabata,,kAw@b'At@
Kazakh,,kaz'Ak
Kazakhstan,,k'azakstan
kean,,D
keister,,k'i:st@`
Keogh,,D
kero,,P
kerygma,,P
ketonic,,P
ketonuria,,ki:toUn'U:ri:@
Keynesian,,P
Keynes,,P
Khayyam,,P
khedivate,,P
khedive,,P
Khmer,,km'e@
KIA,,D
Kiangsi,,kj'aNsi:
kiaugh,,P
kibbutznik,,P
kibbutz,,P
Kidron,,P
Kielce,,P
Kigali,,P
kilobaud,,k'Il@bO:d
kilobyte,,B
kilometer,,kIl'QmIt@`
kimono,,P
kinematic,,kIn@m'atIk
kines,,D
kinetin,,P
Kiowa,,P
kirpan,,P
